encuesta,encuestador,sexo,edad,entidad,facultad,turno,tipo_transporte,gasto_transporte,gasto_comida,presupuesto_semana,tiempo_transporte,actividad_transporte,cercania_transporte,numero_transporte,promedio,actividad_extra,tiempo_descanso,ausencia_recursos,fuente_ingresos,frecuencia_retardos,apoyo_transporte,impacto_transporte
2060,35,1,19,7,11,3,3,2,1,4,2,2,1,4,3,1,2,2,2,4,1,1
2061,7,1,20,6,10,1,1,3,2,3,1,3,3,1,4,2,3,1,1,2,2,1
2062,38,1,21,10,7,2,1,1,3,1,3,1,1,2,3,2,4,2,1,2,1,2
2063,35,1,20,3,7,3,3,1,3,2,2,4,2,2,2,1,1,1,3,2,1,1
2064,38,1,23,7,7,1,3,2,4,2,5,2,3,3,3,2,3,2,2,3,1,2
2065,38,2,22,14,7,2,1,1,3,2,3,2,2,2,3,2,4,2,1,2,1,2
2066,38,1,21,4,7,1,4,1,3,2,2,1,1,1,3,2,4,2,2,1,1,2
2067,35,1,18,3,10,1,4,1,3,1,3,2,1,3,2,2,2,1,2,4,4,1
2068,38,1,24,7,7,1,3,2,3,2,5,2,4,3,2,2,3,2,1,2,1,2
2069,38,1,20,1,7,2,4,2,3,2,3,1,1,1,2,2,4,2,2,2,1,2
2070,14,1,20,1,5,3,2,1,3,4,3,3,1,2,3,1,4,2,1,1,1,2
2071,35,1,23,17,9,1,3,2,2,2,2,3,2,2,3,2,3,2,1,2,1,2
2072,35,1,20,12,10,1,1,2,4,4,1,2,2,2,3,1,3,2,2,4,1,2
2073,35,1,21,8,11,1,4,1,2,1,2,2,2,1,3,2,4,2,2,2,1,1
2074,35,1,20,17,10,3,3,1,2,1,2,4,1,2,2,2,3,2,3,1,1,2
2075,35,1,22,7,11,1,1,4,1,3,1,3,1,2,3,2,2,1,1,2,2,1
2076,35,1,18,10,7,1,1,2,4,4,3,4,1,2,3,2,3,2,1,1,1,2
2077,35,1,22,7,11,1,1,4,2,1,3,2,3,2,3,1,3,1,2,2,4,1
2078,35,2,23,7,11,1,1,1,3,2,3,4,3,3,2,1,3,2,2,2,1,2
2079,35,1,22,10,9,3,2,1,1,1,2,2,1,2,3,1,2,2,2,2,1,1
2080,30,1,22,7,7,2,1,4,1,1,3,1,1,2,2,2,4,2,2,2,1,1
2081,30,1,21,7,7,2,1,3,4,4,5,2,2,2,2,2,3,1,1,4,1,1
2082,30,1,23,4,7,2,3,4,2,2,1,1,1,1,3,1,4,2,1,1,1,2
2083,35,1,19,9,9,1,3,4,4,4,1,1,1,1,4,2,4,2,2,1,3,2
2084,43,1,23,13,3,3,4,3,5,4,3,1,4,1,3,1,3,2,2,3,1,1
2085,35,1,50,7,3,3,1,4,5,4,3,1,2,4,3,1,4,1,3,1,1,1
